tileset_id	style_id	draft	style_name
probablefutures.40105-hires-west-v4	cmsnf627o014x01sd6wnoa5bl	false	40105 hi-res -- v4
probablefutures.40105-hires-west-v4	cmsnf627o014x01sd6wnoa5bl	true	40105 hi-res -- v4
probablefutures.40105-west-v1	cl59mxfs9001x14lrn1wdpqbk	false	Days above 35°C (95°F) -- global RCM RegCM-REMO ensemble -- v1
probablefutures.40105-west-v1	cl59mxfs9001x14lrn1wdpqbk	true	Days above 35°C (95°F) -- global RCM RegCM-REMO ensemble -- v1
probablefutures.40105-west-v2	cle5i7fwp003c01qgbsqmg1tj	false	Days above 35°C (95°F) -- v2
probablefutures.40105-west-v2	cle5i7fwp003c01qgbsqmg1tj	true	Days above 35°C (95°F) -- v2
probablefutures.40105-west-v3	clhyrro7r028j01quaigo1l8g	false	Days above 35°C (95°F) -- v3
probablefutures.40105-west-v3	clhyrro7r028j01quaigo1l8g	true	Days above 35°C (95°F) -- v3
probablefutures.40105-west-v3-2	cmseu7fvp00gq01s8e3ev2e73	false	Days above 35°C (95°F) -- v3
probablefutures.40105-west-v3-2	cmseu7fvp00gq01s8e3ev2e73	true	Days above 35°C (95°F) -- v3
probablefutures.40105-zoom1-v3	cmo759jfm000s01sfgtlr1s6z	false	zoom1-style
probablefutures.40105-zoom1-v3	cmo759jfm000s01sfgtlr1s6z	true	zoom1-style
probablefutures.40106-diff-east-v4	cmt02wt2i00cn01sd2inu3c8d	false	40106 diff -- v4
probablefutures.40106-diff-east-v4	cmt02wt2i00cn01sd2inu3c8d	true	40106 diff -- v4
probablefutures.40106-diff-p02-east-v4	cmt02wt2i00cn01sd2inu3c8d	false	40106 diff -- v4
probablefutures.40106-diff-p02-east-v4	cmt02wt2i00cn01sd2inu3c8d	true	40106 diff -- v4
probablefutures.40106-diff-p02-west-v4	cmt02wt2i00cn01sd2inu3c8d	false	40106 diff -- v4
probablefutures.40106-diff-p02-west-v4	cmt02wt2i00cn01sd2inu3c8d	true	40106 diff -- v4
probablefutures.40106-diff-p08-east-v4	cmt02wt2i00cn01sd2inu3c8d	false	40106 diff -- v4
probablefutures.40106-diff-p08-east-v4	cmt02wt2i00cn01sd2inu3c8d	true	40106 diff -- v4
probablefutures.40106-diff-p08-west-v4	cmt02wt2i00cn01sd2inu3c8d	false	40106 diff -- v4
probablefutures.40106-diff-p08-west-v4	cmt02wt2i00cn01sd2inu3c8d	true	40106 diff -- v4
probablefutures.40106-diff-west-v4	cmt02wt2i00cn01sd2inu3c8d	false	40106 diff -- v4
probablefutures.40106-diff-west-v4	cmt02wt2i00cn01sd2inu3c8d	true	40106 diff -- v4
probablefutures.40106-east-draft	cksssq4fb3gwp17p6nslyb46w	false	Days above 38°C (100°F) -- global RCM RegCM-REMO ensemble
